"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2000";"Mortalidade infantil 2000";"Taxa de analfabetismo - 15 anos ou mais 2000";"% de pobres 2000";"% de vulneráveis à pobreza 2000"
"Açailândia";"MA";2100055;66,11;38,58;24,87;50,62;76,3
"Afonso Cunha";"MA";2100105;60,71;58,54;42,22;82,37;89,51
"Água Doce do Maranhão";"MA";2100154;59,56;63,41;41,24;79,07;93,32
"Alcântara";"MA";2100204;62,62;50,93;30,26;75,79;90,38
"Aldeias Altas";"MA";2100303;60,01;61,5;49,08;75,93;90,97
"Altamira do Maranhão";"MA";2100402;60,23;60,54;40,75;63,53;84,53
"Alto Alegre do Maranhão";"MA";2100436;61,19;56,56;43,42;76,34;90,49
"Alto Alegre do Pindaré";"MA";2100477;63,19;48,79;46,33;76,75;90
"Alto Parnaíba";"MA";2100501;66,94;35,91;23,31;67,9;85,36
"Amapá do Maranhão";"MA";2100550;59,61;63,19;39,39;77;89,98
"Amarante do Maranhão";"MA";2100600;61,55;55,12;32,83;73,54;90,97
"Anajatuba";"MA";2100709;62,85;50,07;34,57;77,42;90,64
"Anapurus";"MA";2100808;62,85;50,07;39,41;73,16;87,34
"Apicum-Açu";"MA";2100832;61,04;57,19;29,31;82,32;94,97
"Araguanã";"MA";2100873;60,29;60,31;39,55;83,38;94,98
"Araioses";"MA";2100907;60,23;60,54;48,3;81,85;94,78
"Arame";"MA";2100956;60,25;60,48;42,49;72,88;88,8
"Arari";"MA";2101004;63,36;48,15;29,47;60,23;82,03
"Axixá";"MA";2101103;63,22;48,69;21,03;73,78;90,26
"Bacabal";"MA";2101202;63,36;48,15;28,84;61,22;81,87
"Bacabeira";"MA";2101251;63,14;48,99;28,18;76,54;92,17
"Bacuri";"MA";2101301;62,12;52,87;33,55;77,91;90,46
"Bacurituba";"MA";2101350;58,67;67,37;35,57;78,48;91,19
"Balsas";"MA";2101400;67,74;33,41;20;52,04;74,47
"Barão de Grajaú";"MA";2101509;64,35;44,56;33,66;67,6;88,32
"Barra do Corda";"MA";2101608;63,89;46,22;33,89;64,77;81,72
"Barreirinhas";"MA";2101707;62,62;50,93;40,89;79,42;91,69
"Belágua";"MA";2101731;62,02;53,25;52,81;84,42;99
"Bela Vista do Maranhão";"MA";2101772;61,47;55,45;36,88;75,76;91,63
"Benedito Leite";"MA";2101806;62,02;53,25;34,29;67,91;87,39
"Bequimão";"MA";2101905;62,08;53,01;28,48;80,88;91,74
"Bernardo do Mearim";"MA";2101939;62,48;51,47;37,3;68,29;87,51
"Boa Vista do Gurupi";"MA";2101970;61,42;55,64;30,64;74,32;92,37
"Bom Jardim";"MA";2102002;62,12;52,87;44,88;77,33;92,28
"Bom Jesus das Selvas";"MA";2102036;62,48;51,47;39,86;72,73;89,51
"Bom Lugar";"MA";2102077;62,01;53,3;42,32;81,72;94,24
"Brejo";"MA";2102101;62,31;52,12;39,33;78;91,05
"Brejo de Areia";"MA";2102150;58,02;70,34;47,54;81,39;95,39
"Buriti";"MA";2102200;60,25;60,48;39,82;79,87;91
"Buriti Bravo";"MA";2102309;62,85;50,07;38,08;78,28;90,25
"Buriticupu";"MA";2102325;61,35;55,92;38,7;66,05;84,67
"Buritirana";"MA";2102358;61,19;56,56;38,41;79,55;92,57
"Cachoeira Grande";"MA";2102374;63,19;48,79;42,35;86,32;97,59
"Cajapió";"MA";2102408;61,06;57,11;35,95;83,97;96,91
"Cajari";"MA";2102507;61,64;54,74;24,58;85,09;95,35
"Campestre do Maranhão";"MA";2102556;65,23;41,53;30,54;65,87;89,16
"Cândido Mendes";"MA";2102606;62,48;51,47;27,66;72,59;91,87
"Cantanhede";"MA";2102705;63,19;48,79;37,83;86,56;95,88
"Capinzal do Norte";"MA";2102754;60,23;60,54;40,44;77,08;90,67
"Carolina";"MA";2102804;66,11;38,58;25,7;58,53;75,65
"Carutapera";"MA";2102903;62,05;53,15;28,04;77,88;90,53
"Caxias";"MA";2103000;63,36;48,15;33,76;61,73;80,83
"Cedral";"MA";2103109;62,48;51,47;21,22;74,06;91,65
"Central do Maranhão";"MA";2103125;61,35;55,92;33,9;77,23;92,18
"Centro do Guilherme";"MA";2103158;59,44;63,93;39,42;67,19;87,46
"Centro Novo do Maranhão";"MA";2103174;62,08;53,01;44,21;77,86;92,13
"Chapadinha";"MA";2103208;63,4;48;36,69;71,68;87,43
"Cidelândia";"MA";2103257;61,47;55,45;32,84;66,5;87,16
"Codó";"MA";2103307;62,08;53,01;40,62;70,18;87,1
"Coelho Neto";"MA";2103406;60,55;59,22;35,8;67,99;86,73
"Colinas";"MA";2103505;60,29;60,31;38,25;71,04;85,83
"Conceição do Lago-Açu";"MA";2103554;61,54;55,15;40,5;81,11;94,98
"Coroatá";"MA";2103604;61,42;55,64;41,18;76,27;89,63
"Cururupu";"MA";2103703;63,22;48,69;20,61;66,63;84,61
"Davinópolis";"MA";2103752;62,01;53,3;31,35;62,86;87,11
"Dom Pedro";"MA";2103802;63,36;48,15;30,62;52,33;76,73
"Duque Bacelar";"MA";2103901;58,45;68,35;46,52;77,66;90,08
"Esperantinópolis";"MA";2104008;62,08;53,01;36,97;71,33;88,51
"Estreito";"MA";2104057;66,11;38,58;21,9;55,89;75,75
"Feira Nova do Maranhão";"MA";2104073;60,55;59,22;32,61;74,87;91,05
"Fernando Falcão";"MA";2104081;61,47;55,45;53,84;85,5;93,7
"Formosa da Serra Negra";"MA";2104099;63,36;48,15;28,06;89,68;99
"Fortaleza dos Nogueiras";"MA";2104107;63,4;48;23,84;68,88;86,02
"Fortuna";"MA";2104206;60,25;60,48;39,73;67,52;86,59
"Godofredo Viana";"MA";2104305;62,48;51,47;29,56;73,36;88,63
"Gonçalves Dias";"MA";2104404;62,62;50,93;39,1;46,01;70,54
"Governador Archer";"MA";2104503;58,75;66,99;39,46;70,83;88,45
"Governador Edison Lobão";"MA";2104552;64,07;45,57;27,89;63,57;86,48
"Governador Eugênio Barros";"MA";2104602;63,14;48,99;42,09;73,75;89,25
"Governador Luiz Rocha";"MA";2104628;58,45;68,35;39,95;74,45;92,7
"Governador Newton Bello";"MA";2104651;60,23;60,54;45,73;80,79;94,8
"Governador Nunes Freire";"MA";2104677;61,04;57,19;39,23;74,85;90,32
"Graça Aranha";"MA";2104701;62,05;53,15;33,73;75,32;88,97
"Grajaú";"MA";2104800;64,07;45,57;33,92;66,94;84,36
"Guimarães";"MA";2104909;63,22;48,69;16,22;71,64;89
"Humberto de Campos";"MA";2105005;62,48;51,47;29,93;83,1;96,18
"Icatu";"MA";2105104;61,42;55,64;31,51;82,31;93,9
"Igarapé do Meio";"MA";2105153;60,25;60,48;43,12;77,37;93,98
"Igarapé Grande";"MA";2105203;63,36;48,15;33,34;69,2;88,88
"Imperatriz";"MA";2105302;67,74;33,41;16,01;35,76;63,51
"Itaipava do Grajaú";"MA";2105351;60,29;60,31;49,5;80,79;98,8
"Itapecuru Mirim";"MA";2105401;62,12;52,87;36,75;71,56;88,19
"Itinga do Maranhão";"MA";2105427;62,3;52,16;27,65;46,86;74,19
"Jatobá";"MA";2105450;62,01;53,3;43,03;59,35;81,27
"Jenipapo dos Vieiras";"MA";2105476;62,85;50,07;47,24;76,19;89,39
"João Lisboa";"MA";2105500;64,07;45,57;30,55;57,57;81,05
"Joselândia";"MA";2105609;62,08;53,01;43,29;78,19;91,04
"Junco do Maranhão";"MA";2105658;57,97;70,56;37,49;79,41;91,84
"Lago da Pedra";"MA";2105708;61,54;55,15;39,73;66,7;85,67
"Lago do Junco";"MA";2105807;62,48;51,47;40;61,49;80,93
"Lago Verde";"MA";2105906;62,02;53,25;43,16;81,87;93,83
"Lagoa do Mato";"MA";2105922;60,88;57,82;42,12;80,72;94,9
"Lago dos Rodrigues";"MA";2105948;61,04;57,19;37,97;74,27;90,41
"Lagoa Grande do Maranhão";"MA";2105963;61,19;56,56;48,82;84,67;94,3
"Lajeado Novo";"MA";2105989;63,22;48,69;26,84;64,48;84,12
"Lima Campos";"MA";2106003;60,09;61,12;40,39;66,29;86,88
"Loreto";"MA";2106102;63,14;48,99;28,93;77,09;90,65
"Luís Domingues";"MA";2106201;63,19;48,79;25,07;69,61;84,97
"Magalhães de Almeida";"MA";2106300;61,04;57,19;40,38;78,32;91,92
"Maracaçumé";"MA";2106326;61,04;57,19;33,17;64,57;83,99
"Marajá do Sena";"MA";2106359;63,19;48,79;51,17;80,39;91,69
"Maranhãozinho";"MA";2106375;62,02;53,25;40,4;85,93;95,33
"Mata Roma";"MA";2106409;63,36;48,15;38,26;79,69;91,88
"Matinha";"MA";2106508;62,01;53,3;24,21;73,44;89,83
"Matões";"MA";2106607;63,14;48,99;45,88;73,34;91,31
"Matões do Norte";"MA";2106631;62,85;50,07;51,45;87,65;95,08
"Milagres do Maranhão";"MA";2106672;63,14;48,99;42,61;80,83;93,85
"Mirador";"MA";2106706;62,12;52,87;39,19;73,45;89,21
"Miranda do Norte";"MA";2106755;62,12;52,87;30,12;57,7;81,64
"Mirinzal";"MA";2106805;63,22;48,69;23,38;70,62;86,47
"Monção";"MA";2106904;59,58;63,32;36,16;76,1;91,12
"Montes Altos";"MA";2107001;61,47;55,45;26,89;72,97;87,09
"Morros";"MA";2107100;61,64;54,74;37,59;81,05;92,23
"Nina Rodrigues";"MA";2107209;63,89;46,22;38,41;82,07;92,04
"Nova Colinas";"MA";2107258;62,01;53,3;28,13;81,77;93,51
"Nova Iorque";"MA";2107308;62,01;53,3;36,98;70,53;86,56
"Nova Olinda do Maranhão";"MA";2107357;62,62;50,93;36,48;72,8;86,12
"Olho D'Água das Cunhãs";"MA";2107407;62,62;50,93;43,38;71,01;87,76
"Olinda Nova do Maranhão";"MA";2107456;61,19;56,56;29,07;75,15;92,2
"Paço do Lumiar";"MA";2107506;67,74;33,41;9,6;40,56;64,59
"Palmeirândia";"MA";2107605;61,47;55,45;32,48;81,5;92,51
"Paraibano";"MA";2107704;60,01;61,49;37,76;63,73;83,55
"Parnarama";"MA";2107803;62,62;50,93;44,05;78,68;91,9
"Passagem Franca";"MA";2107902;61,04;57,19;42,13;72,02;87,24
"Pastos Bons";"MA";2108009;63,22;48,69;32,25;70,72;86,12
"Paulino Neves";"MA";2108058;61,06;57,11;44,81;84,79;95,24
"Paulo Ramos";"MA";2108108;58,12;69,87;45,2;77,36;91,13
"Pedreiras";"MA";2108207;66,94;35,91;26,38;54,35;76,19
"Pedro do Rosário";"MA";2108256;60,25;60,48;40,03;83,29;94,34
"Penalva";"MA";2108306;61,06;57,11;28,41;75,44;92,07
"Peri Mirim";"MA";2108405;61,19;56,56;28,4;77,94;90,76
"Peritoró";"MA";2108454;63,4;48;45,59;76,73;91,18
"Pindaré-Mirim";"MA";2108504;63,36;48,15;28,36;69,95;86,14
"Pinheiro";"MA";2108603;63,22;48,69;24,24;65,52;84,14
"Pio Xii";"MA";2108702;60,55;59,22;42,58;74,22;90,94
"Pirapemas";"MA";2108801;62,05;53,15;42,39;81,57;92,41
"Poção de Pedras";"MA";2108900;62,05;53,15;38,62;76,3;91,83
"Porto Franco";"MA";2109007;66,11;38,58;23,32;46,13;73,99
"Porto Rico do Maranhão";"MA";2109056;63,19;48,79;20,67;71,46;91,49
"Presidente Dutra";"MA";2109106;65,68;40;30,17;55,69;77,61
"Presidente Juscelino";"MA";2109205;61,19;56,56;40,1;83,89;94,02
"Presidente Médici";"MA";2109239;63,14;48,99;35,87;66,26;86,97
"Presidente Sarney";"MA";2109270;62,62;50,93;37,91;76,64;92,42
"Presidente Vargas";"MA";2109304;63,4;48;41,88;83,09;92,7
"Primeira Cruz";"MA";2109403;60,29;60,31;34,8;76,82;94,2
"Raposa";"MA";2109452;63,71;46,88;23,02;66,61;84,92
"Riachão";"MA";2109502;63,36;48,15;31,17;71,23;88,42
"Ribamar Fiquene";"MA";2109551;61,47;55,45;27;67,55;85,17
"Rosário";"MA";2109601;64,15;45,3;25,45;71,53;85,8
"Sambaíba";"MA";2109700;61,35;55,92;29,81;79,66;89,03
