"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2000";"Mortalidade infantil 2000";"Taxa de analfabetismo - 15 anos ou mais 2000";"% de pobres 2000";"% de vulneráveis à pobreza 2000"
"Santa Filomena do Maranhão";"MA";2109759;61,19;56,56;43,97;76,96;90,46
"Santa Helena";"MA";2109809;62,08;53,01;29,09;68,75;88,27
"Santa Inês";"MA";2109908;65,68;40;24,26;50,68;76,83
"Santa Luzia";"MA";2110005;60,23;60,54;42,71;75,51;89,91
"Santa Luzia do Paruá";"MA";2110039;64,15;45,3;34,84;74,5;91,12
"Santa Quitéria do Maranhão";"MA";2110104;62,85;50,07;38,97;78,45;91,55
"Santa Rita";"MA";2110203;62,48;51,47;31,64;72,87;89,34
"Santana do Maranhão";"MA";2110237;63,14;48,99;49,14;85,96;95,37
"Santo Amaro do Maranhão";"MA";2110278;61,19;56,56;36,75;89,11;96,29
"Santo Antônio dos Lopes";"MA";2110302;61,33;55,99;39,07;71,37;91,26
"São Benedito do Rio Preto";"MA";2110401;62,12;52,87;40,2;85,35;94,79
"São Bento";"MA";2110500;62,85;50,07;27,56;71,77;86,95
"São Bernardo";"MA";2110609;62,48;51,47;38,49;79,63;92,21
"São Domingos do Azeitão";"MA";2110658;62,01;53,3;30,75;70,95;90
"São Domingos do Maranhão";"MA";2110708;59,63;63,11;36,52;63,84;83,7
"São Félix de Balsas";"MA";2110807;65,13;41,85;32,57;66,09;84,97
"São Francisco do Brejão";"MA";2110856;62,31;52,12;27,14;60,07;84,57
"São Francisco do Maranhão";"MA";2110906;62,31;52,12;42,91;75,62;91,44
"São João Batista";"MA";2111003;62,62;50,93;30,39;83,96;95,37
"São João do Carú";"MA";2111029;60,23;60,54;53,91;76,54;92,37
"São João do Paraíso";"MA";2111052;64,07;45,57;22,01;67,19;83,35
"São João do Soter";"MA";2111078;60,01;61,5;48,35;80,23;92,23
"São João dos Patos";"MA";2111102;63,22;48,69;27,98;56,2;79,02
"São José de Ribamar";"MA";2111201;65,68;40;12,13;48,53;72,94
"São José dos Basílios";"MA";2111250;60,23;60,54;38,81;78,25;93,06
"São Luís";"MA";2111300;69,19;27,44;7,33;34,9;58,56
"São Luís Gonzaga do Maranhão";"MA";2111409;60,55;59,22;40,84;76,04;93,21
"São Mateus do Maranhão";"MA";2111508;60,09;61,12;37;67,14;85,61
"São Pedro da Água Branca";"MA";2111532;61,33;55,99;37,34;66,61;86,42
"São Pedro dos Crentes";"MA";2111573;64,07;45,57;22,44;78,36;92,18
"São Raimundo das Mangabeiras";"MA";2111607;62,01;53,3;27,35;65,34;84,72
"São Raimundo do Doca Bezerra";"MA";2111631;59,44;63,93;41,95;81,28;91,42
"São Roberto";"MA";2111672;62,01;53,3;44,65;84,53;96,51
"São Vicente Ferrer";"MA";2111706;62,31;52,12;35,16;76,49;91,15
"Satubinha";"MA";2111722;59,63;63,11;46,38;81,8;94,11
"Senador Alexandre Costa";"MA";2111748;58,02;70,34;46,18;73,79;88,08
"Senador La Rocque";"MA";2111763;61,55;55,12;39,53;68,27;87,55
"Serrano do Maranhão";"MA";2111789;62,08;53,01;34,06;80,9;94,34
"Sítio Novo";"MA";2111805;63,4;48;27,13;66,86;85,64
"Sucupira do Norte";"MA";2111904;60,88;57,82;29,4;71,95;90,54
"Sucupira do Riachão";"MA";2111953;63,36;48,15;36,52;67,94;89,34
"Tasso Fragoso";"MA";2112001;63,4;48;23,76;71,33;87,99
"Timbiras";"MA";2112100;61,35;55,92;48,03;81,3;92,22
"Timon";"MA";2112209;64,35;44,56;25,12;53,86;79,31
"Trizidela do Vale";"MA";2112233;62,31;52,12;31,61;57,77;83,71
"Tufilândia";"MA";2112274;61,06;57,11;40,88;66,77;83,32
"Tuntum";"MA";2112308;61,19;56,56;37,19;72,49;89,2
"Turiaçu";"MA";2112407;63,89;46,22;32,52;78,51;93,47
"Turilândia";"MA";2112456;63,89;46,22;41,12;77,71;91,97
"Tutóia";"MA";2112506;61,19;56,56;40,78;76,31;91,64
"Urbano Santos";"MA";2112605;63,19;48,79;37,71;84,2;94,08
"Vargem Grande";"MA";2112704;63,19;48,79;46,27;81,06;93,78
"Viana";"MA";2112803;62,62;50,93;22,91;71,64;88,23
"Vila Nova dos Martírios";"MA";2112852;61,47;55,45;36,14;69,85;87,48
"Vitória do Mearim";"MA";2112902;62,31;52,12;31,24;64,07;83,4
"Vitorino Freire";"MA";2113009;61,35;55,92;40,19;65,83;86,3
"Zé Doca";"MA";2114007;62,31;52,12;34,68;70,69;87,85
"Acauã";"PI";2200053;58,73;67,09;39,84;84,4;94,03
"Agricolândia";"PI";2200103;65,32;41,21;33,24;69,75;90,64
"Água Branca";"PI";2200202;65,72;39,85;30,7;55,59;80,89
"Alagoinha do Piauí";"PI";2200251;62,21;52,53;51,47;54,09;76,46
"Alegrete do Piauí";"PI";2200277;64,26;44,89;47,68;52,39;79,64
"Alto Longá";"PI";2200301;64,33;44,64;45,32;73,64;89,58
"Altos";"PI";2200400;65,3;41,27;34,1;63,36;83,94
"Alvorada do Gurguéia";"PI";2200459;61,97;53,45;36,38;75,68;88,46
"Amarante";"PI";2200509;66,99;35,73;35,35;66,92;85,7
"Angical do Piauí";"PI";2200608;67,47;34,23;28,58;64,78;84,05
"Anísio de Abreu";"PI";2200707;65,35;41,11;38,26;60,01;80,01
"Antônio Almeida";"PI";2200806;64,92;42,58;25,9;64,89;87,2
"Aroazes";"PI";2200905;62,82;50,16;36,84;65,94;83,54
"Aroeiras do Itaim";"PI";2200954;62,93;49,76;51,22;85,57;96,48
"Arraial";"PI";2201002;66,01;38,89;39,07;69,26;85,45
"Assunção do Piauí";"PI";2201051;61,16;56,71;49,55;60,37;85,01
"Avelino Lopes";"PI";2201101;61,59;54,95;29,96;75,87;91,84
"Baixa Grande do Ribeiro";"PI";2201150;62,21;52,53;37,22;76,59;90,93
"Barra D'Alcântara";"PI";2201176;64,03;45,72;43,98;65,85;89,73
"Barras";"PI";2201200;63,36;48,16;42,59;73,82;88,09
"Barreiras do Piauí";"PI";2201309;65,76;39,73;21,39;60,42;84,69
"Barro Duro";"PI";2201408;65,72;39,85;38,69;57,17;81,7
"Batalha";"PI";2201507;62,82;50,16;44,92;74,42;89,07
"Bela Vista do Piauí";"PI";2201556;60,29;60,29;27,73;74,69;90,47
"Belém do Piauí";"PI";2201572;60,29;60,29;51,65;73,46;92,58
"Beneditinos";"PI";2201606;65,3;41,27;42,76;67,3;84,1
"Bertolínia";"PI";2201705;66,42;37,56;33,26;64,07;83,74
"Betânia do Piauí";"PI";2201739;58,84;66,61;49,8;81,52;93,28
"Boa Hora";"PI";2201770;63,9;46,16;49,2;72,98;92,98
"Bocaina";"PI";2201804;66,79;36,38;31,63;46,48;74,7
"Bom Jesus";"PI";2201903;67,52;34,09;29,36;59,54;77,42
"Bom Princípio do Piauí";"PI";2201919;62,82;50,16;43,86;68,99;87,91
"Bonfim do Piauí";"PI";2201929;64,92;42,58;38,41;63,87;82,36
"Boqueirão do Piauí";"PI";2201945;64,33;44,64;45,58;79,15;92,98
"Brasileira";"PI";2201960;64,26;44,89;43,11;66,02;87,44
"Brejo do Piauí";"PI";2201988;61,59;54,95;44,73;73,39;90,12
"Buriti dos Lopes";"PI";2202000;61,26;56,28;40,75;71,58;86,8
"Buriti dos Montes";"PI";2202026;63,9;46,16;46,01;72,7;87,24
"Cabeceiras do Piauí";"PI";2202059;63,16;48,9;46,95;80,28;94,35
"Cajazeiras do Piauí";"PI";2202075;62,57;51,12;41,43;75,61;90,71
"Cajueiro da Praia";"PI";2202083;61,26;56,28;37,92;77,61;91,19
"Caldeirão Grande do Piauí";"PI";2202091;61,97;53,45;48,52;74,91;87,5
"Campinas do Piauí";"PI";2202109;63,19;48,77;35,77;78,94;88,63
"Campo Alegre do Fidalgo";"PI";2202117;62,57;51,12;43,18;76,76;90,58
"Campo Grande do Piauí";"PI";2202133;62,93;49,76;42,32;66,64;87,33
"Campo Largo do Piauí";"PI";2202174;62,89;49,93;47,6;85,51;94,82
"Campo Maior";"PI";2202208;67,36;34,57;28,56;50,88;74,3
"Canavieira";"PI";2202251;64,24;44,97;32;72,37;91,43
"Canto do Buriti";"PI";2202307;64,23;45,01;35,58;59,24;79,85
"Capitão de Campos";"PI";2202406;64,48;44,1;38,37;74,32;89,93
"Capitão Gervásio Oliveira";"PI";2202455;62,13;52,82;37,48;73,72;92,36
"Caracol";"PI";2202505;64,08;45,53;44,47;75,06;88,28
"Caraúbas do Piauí";"PI";2202539;64,24;44,97;59,83;81,36;92,95
"Caridade do Piauí";"PI";2202554;62,93;49,76;44,27;72,25;87,34
"Castelo do Piauí";"PI";2202604;64,58;43,76;39,02;65,3;85,19
"Caxingó";"PI";2202653;59,61;63,19;56,42;78,95;90,71
"Cocal";"PI";2202703;60,23;60,53;46,38;73,31;89,81
"Cocal de Telha";"PI";2202711;66,01;38,89;45,51;65,81;88,38
"Cocal dos Alves";"PI";2202729;64,08;45,53;52,81;75,23;90,05
"Coivaras";"PI";2202737;64,48;44,1;39,74;80,57;92,32
"Colônia do Gurguéia";"PI";2202752;66,38;37,69;29,53;63,16;85,59
"Colônia do Piauí";"PI";2202778;63,1;49,14;43,22;73,47;86,66
"Conceição do Canindé";"PI";2202802;62,09;52,99;36,66;72,18;86,66
"Coronel José Dias";"PI";2202851;60,68;58,65;37,18;74,39;88,78
"Corrente";"PI";2202901;67,36;34,57;23,93;56,18;78,07
"Cristalândia do Piauí";"PI";2203008;62,89;49,93;32,57;69,99;85,79
"Cristino Castro";"PI";2203107;66,57;37,07;35,28;62,71;82,73
"Curimatá";"PI";2203206;66,99;35,73;22,1;65,44;80,59
"Currais";"PI";2203230;62,25;52,36;36,04;77,45;93,85
"Curralinhos";"PI";2203255;63,24;48,6;42,13;80,63;93,54
"Curral Novo do Piauí";"PI";2203271;58,67;67,35;44,2;79,52;92,3
"Demerval Lobão";"PI";2203305;65,4;40,94;33,5;62,41;81,79
"Dirceu Arcoverde";"PI";2203354;64,24;44,97;31,77;61,64;82,19
"Dom Expedito Lopes";"PI";2203404;62,82;50,18;31,16;61,85;79,9
"Domingos Mourão";"PI";2203420;62,82;50,16;40,17;80,86;94,91
"Dom Inocêncio";"PI";2203453;63,16;48,9;30,4;72,47;88,25
"Elesbão Veloso";"PI";2203503;63,24;48,6;39,61;60,73;84,32
"Eliseu Martins";"PI";2203602;66,99;35,73;32,66;64,16;81,55
"Esperantina";"PI";2203701;64,26;44,89;36,88;67,17;85,36
"Fartura do Piauí";"PI";2203750;63,19;48,8;33,86;67,3;85,28
"Flores do Piauí";"PI";2203800;65,4;40,94;43,44;70,86;88,98
"Floresta do Piauí";"PI";2203859;61,97;53,45;52,81;77,21;91,31
"Floriano";"PI";2203909;67,52;34,09;19,91;41,9;67,29
"Francinópolis";"PI";2204006;60,23;60,53;43,66;72,97;89,86
"Francisco Ayres";"PI";2204105;63,54;47,49;39,4;65,71;86,82
"Francisco Macedo";"PI";2204154;62,82;50,16;40,51;75,26;90,17
"Francisco Santos";"PI";2204204;63,24;48,6;35,72;53,87;78,42
"Fronteiras";"PI";2204303;62,93;49,76;39,7;54,3;77,69
"Geminiano";"PI";2204352;62,25;52,36;46,75;72,28;89,56
"Gilbués";"PI";2204402;67,14;35,27;30,71;70,95;84,26
"Guadalupe";"PI";2204501;67,04;35,59;23,94;52,69;76,06
"Guaribas";"PI";2204550;60,53;59,28;57,89;89,99;94,65
"Hugo Napoleão";"PI";2204600;63,87;46,29;41,91;79,36;90,67
"Ilha Grande";"PI";2204659;59,61;63,19;36,77;71,72;90,3
"Inhuma";"PI";2204709;64,23;45,01;36,01;52,24;75,84
"Ipiranga do Piauí";"PI";2204808;64,26;44,89;31,41;63,26;84,13
"Isaías Coelho";"PI";2204907;63,24;48,6;39,45;76,07;89,62
"Itainópolis";"PI";2205003;60,53;59,3;46,13;65,88;83,36
"Itaueira";"PI";2205102;65,4;40,94;33,6;60,05;81,33
"Jacobina do Piauí";"PI";2205151;62,12;52,85;44,55;75,59;87,89
"Jaicós";"PI";2205201;63,36;48,16;47,24;66,5;84,46
"Jardim do Mulato";"PI";2205250;63,61;47,24;41,45;67,61;85,02
"Jatobá do Piauí";"PI";2205276;63,9;46,16;37,46;66,08;88,7
"Jerumenha";"PI";2205300;67,37;34,54;27,75;66,07;86,48
"João Costa";"PI";2205359;63,1;49,14;35,42;69,77;87,56
"Joaquim Pires";"PI";2205409;63,16;48,9;47,2;72,92;89,45
"Joca Marques";"PI";2205458;60,68;58,65;46,38;77,71;91,05
"José de Freitas";"PI";2205508;64,24;44,97;32,87;64,43;85,28
"Juazeiro do Piauí";"PI";2205516;62,82;50,16;44,2;74,12;93,35
"Júlio Borges";"PI";2205524;64,03;45,72;23,85;83,64;93,99
"Jurema";"PI";2205532;63,16;48,9;44,53;71,97;88,72
"Lagoinha do Piauí";"PI";2205540;66,46;37,44;32,36;63,71;89,73
"Lagoa Alegre";"PI";2205557;64,98;42,37;43,5;70,7;91,24
"Lagoa do Barro do Piauí";"PI";2205565;62,38;51,84;38,17;77,73;90,77
"Lagoa de São Francisco";"PI";2205573;61,26;56,28;45,85;77,31;93,32
"Lagoa do Piauí";"PI";2205581;63,9;46,16;34,19;76,36;95,08
"Lagoa do Sítio";"PI";2205599;62,14;52,79;42,71;74,98;91,95
"Landri Sales";"PI";2205607;65,32;41,21;28,92;58,15;78,7
"Luís Correia";"PI";2205706;60,47;59,52;39,3;69,49;88,49
"Luzilândia";"PI";2205805;58,73;67,09;41,83;67,83;84,62
"Madeiro";"PI";2205854;63,65;47,08;47,4;80,3;96,32
"Manoel Emídio";"PI";2205904;64,78;43,07;35,84;67,63;83,75
"Marcolândia";"PI";2205953;62,93;49,76;41,43;63,57;81,05
"Marcos Parente";"PI";2206001;63,59;47,31;31,35;59,1;79,31
"Massapê do Piauí";"PI";2206050;60,23;60,53;52,6;70,96;86,54
"Matias Olímpio";"PI";2206100;64,08;45,53;46,34;75,15;91,06
"Miguel Alves";"PI";2206209;61,74;54,36;48,1;75,88;92,23
"Miguel Leão";"PI";2206308;67,47;34,23;37,89;62,02;79,36
"Milton Brandão";"PI";2206357;63,1;49,14;50,92;85,77;96,15
"Monsenhor Gil";"PI";2206407;64,65;43,52;33,68;66,75;86,44
"Monsenhor Hipólito";"PI";2206506;62,21;52,53;42,28;51,18;72,36
"Monte Alegre do Piauí";"PI";2206605;63,1;49,14;34,84;73,84;88,08
"Morro Cabeça no Tempo";"PI";2206654;63,65;47,08;30,45;85,94;94,52
"Morro do Chapéu do Piauí";"PI";2206670;61,74;54,36;46,8;83,83;96,53
"Murici dos Portelas";"PI";2206696;64,03;45,72;53,46;83,03;94,92
"Nazaré do Piauí";"PI";2206704;62,09;52,99;37,31;74,81;88,5
"Nazária";"PI";2206720;67,37;34,54;40,88;72,72;90,88
"Nossa Senhora de Nazaré";"PI";2206753;63,9;46,16;33,47;71,63;93,41
"Nossa Senhora dos Remédios";"PI";2206803;62,25;52,36;46,85;79,45;91,47
"Novo Oriente do Piauí";"PI";2206902;63,8;46,54;37,27;59,58;83,31
"Novo Santo Antônio";"PI";2206951;58,84;66,61;43,61;84,41;95,05
"Oeiras";"PI";2207009;62,57;51,12;32,99;61,29;82,61
"Olho D'Água do Piauí";"PI";2207108;63,1;49,14;41,78;80,86;88,61
"Padre Marcos";"PI";2207207;59,44;63,95;47,05;70,69;88,42
"Paes Landim";"PI";2207306;62,13;52,82;33,95;69,72;88,27
"Pajeú do Piauí";"PI";2207355;66,23;38,17;35,26;61,81;82,87
"Palmeira do Piauí";"PI";2207405;63,87;46,29;34,34;57,47;84,73
"Palmeirais";"PI";2207504;64,5;44,06;41,21;70,62;87,54
