"Índice de Gini 2000","Índice de Gini 2010","Taxa de atividade - 18 anos ou mais 2000","Taxa de atividade - 18 anos ou mais 2010","% dos ocupados com fundamental completo - 18 anos ou mais 2000","% dos ocupados com fundamental completo - 18 anos ou mais 2010","% dos ocupados com médio completo - 18 anos ou mais 2000","% dos ocupados com médio completo - 18 anos ou mais 2010","% dos ocupados com superior completo - 18 anos ou mais 2000","% dos ocupados com superior completo - 18 anos ou mais 2010","Esperança de vida ao nascer 2000","Esperança de vida ao nascer 2010","População total 2000","População total 2010","Mortalidade infantil 2000","Mortalidade infantil 2010","IDHM 2000","IDHM 2010","Probabilidade de sobrevivência até 60 anos 2000","Probabilidade de sobrevivência até 60 anos 2010","Taxa de envelhecimento 2000","Taxa de envelhecimento 2010","Taxa de analfabetismo - 15 anos ou mais 2000","Taxa de analfabetismo - 15 anos ou mais 2010","Expectativa de anos de estudo 2000","Expectativa de anos de estudo 2010","% de 18 a 24 anos no fundamental REGULAR SERIADO 2000","% de 18 a 24 anos no fundamental REGULAR SERIADO 2010","% de 18 a 24 anos no médio REGULAR SERIADO 2000","% de 18 a 24 anos no médio REGULAR SERIADO 2010","% de extremamente pobres 2000","% de extremamente pobres 2010","% de pobres 2000","% de pobres 2010","% de vulneráveis à pobreza 2000","% de vulneráveis à pobreza 2010","Renda per capita dos extremamente pobres 2000","Renda per capita dos extremamente pobres 2010","Renda per capita dos pobres 2000","Renda per capita dos pobres 2010","Renda per capita dos vulneráveis à pobreza 2000","Renda per capita dos vulneráveis à pobreza 2010"
1,0.395700590482599,-0.0849736029460037,-0.00341251767425948,NA,0.0989401522822736,NA,0.0818848525641337,NA,0.165411439162505,0.0170208020739419,0.0291334870418681,0.0330956205537486,0.0331477702260688,0.0566005168974266,-0.0194668075882794,0.0520825774397434,0.055352487377532,0.0266506595618199,0.0268630722943103,-0.110131784672576,-0.10464654556736,0.0153675677785504,-0.0285981304332742,-0.0206868785732443,0.0365647008403087,0.0150070955416622,NA,NA,-0.00147201755609327,NA,NA,0.134417852846332,0.135326305037087,-0.0259899733641368,0.0579064559601818,NA,NA,-0.486937874561573,-0.218951953525703,-0.383846124001515,-0.19869811173047
0.395700590482599,1,0.0989785677213902,-0.13505771627271,NA,0.0557462848193418,NA,0.0488432658511825,NA,0.233099937010445,-0.0837281499452026,0.0149728379642207,0.0397255136335465,0.0397739381431257,0.0343360544796493,0.0333119454032166,-0.100070864613013,-0.0358516612967328,-0.0875394370495794,0.00834747317161062,-0.241087896986793,-0.244370796459838,0.0162619385084377,-0.00847832960189462,-0.189716056125373,-0.0994255139135027,0.115718182375372,NA,NA,0.142006704087766,NA,NA,0.173829905847962,0.400512557283056,0.0439228961262291,0.241277909677692,NA,NA,-0.282599657069251,-0.493319127314359,-0.281307861241998,-0.496926421642475
-0.0849736029460037,0.0989785677213902,1,0.355164944764325,NA,0.0322368350802798,NA,0.00841380007487759,NA,0.00570838965721131,-0.0212896741007615,0.0546676815395062,0.0262316762879014,0.0263550100872699,-0.0381063593975499,-0.0198208381847263,0.0948594423356704,0.0638418451460204,-0.0355629811310665,0.0472701785240383,-0.169652473350908,-0.198147357800746,-0.116141509400128,-0.128900765371907,0.0245289371315039,-0.0506319928869087,-0.039812138069429,NA,NA,0.0507257941060459,NA,NA,-0.156496231615329,-0.0273215730572171,-0.177124431430967,-0.084478727741222,NA,NA,0.21340083519584,0.0310927671064383,0.19244306441852,0.0181175735839444
-0.00341251767425948,-0.13505771627271,0.355164944764325,1,NA,0.145765795163477,NA,0.118507378214724,NA,-0.039098840082497,0.141996186817229,0.142574371164506,0.036184375883237,0.0363433053794671,-0.172122242326056,-0.131044374851535,0.307101482646355,0.354454967043425,0.125131744082568,0.134128781453264,-0.128339746218373,-0.169583358182697,-0.359055771093774,-0.399840437758308,0.182037363539642,0.0228826027251192,-0.100436110848259,NA,NA,-0.0484782855102558,NA,NA,-0.386993461465025,-0.458515226280271,-0.383648907324038,-0.473764280034815,NA,NA,0.347889248671831,0.472486783801911,0.382214165382075,0.453788920658302
NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0989401522822736,0.0557462848193418,0.0322368350802798,0.145765795163477,NA,1,NA,0.960220594519678,NA,0.629046798114388,0.520741520891906,0.480960067924272,0.0691589122090216,0.069448870285036,-0.414830581152391,-0.461312426208264,0.811191728559922,0.874117302868079,0.528699178352363,0.470882340129807,-0.151667012633703,-0.202300400807372,-0.748792627774561,-0.775376582035966,0.631167824994438,0.39149640175792,-0.316696681890681,NA,NA,-0.13307847604308,NA,NA,-0.625347184950153,-0.612760452697925,-0.651600805964586,-0.645450016752318,NA,NA,0.445772776627799,0.458167979990634,0.541389889691685,0.558748735781848
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0818848525641337,0.0488432658511825,0.00841380007487759,0.118507378214724,NA,0.960220594519678,NA,1,NA,0.669128714197794,0.51556859470466,0.477212260134862,0.0695763569136847,0.0698445626671308,-0.411797945858668,-0.461996879241899,0.815461896962486,0.856930306421514,0.518900228467647,0.46695361160128,-0.0819070897819861,-0.123948878609239,-0.723348156235879,-0.732703882867786,0.635348496272847,0.368175974181439,-0.318322571857388,NA,NA,-0.187872030397826,NA,NA,-0.638993012495491,-0.621187919894574,-0.663667571733913,-0.657135503881843,NA,NA,0.452936400879402,0.458777967930309,0.549782460072815,0.561687938331048
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.165411439162505,0.233099937010445,0.00570838965721131,-0.039098840082497,NA,0.629046798114388,NA,0.669128714197794,NA,1,0.381593942128521,0.338699276338404,0.0933632490047755,0.0935589372012408,-0.299304636758889,-0.318687812649823,0.547761467221813,0.581649457410859,0.383364698270456,0.328436432551142,-0.0390363169107333,-0.0421640492766259,-0.397741812709694,-0.387365080702074,0.357949728962398,0.280405663637782,-0.257746281523172,NA,NA,-0.0674028124809671,NA,NA,-0.428565996396634,-0.379084787118974,-0.496664546222993,-0.470703438500201,NA,NA,0.232850505148528,0.2131303211379,0.319585626088979,0.292017778778679
