"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2010";"Mortalidade infantil 2010";"Taxa de analfabetismo - 15 anos ou mais 2010";"% de pobres 2010";"% de vulneráveis à pobreza 2010"
"Novo Oriente do Piauí";"PI";2206902;71,49;23,5;32,84;41,41;69,38
"Novo Santo Antônio";"PI";2206951;67,13;37,6;37,54;50,65;72,77
"Oeiras";"PI";2207009;70,19;27,3;25,51;33,36;59,03
"Olho D'Água do Piauí";"PI";2207108;69,73;28,7;20,91;50,85;73,49
"Padre Marcos";"PI";2207207;66,95;38,2;41,08;47,44;71,32
"Paes Landim";"PI";2207306;68,28;33,4;25,61;43,77;69,84
"Pajeú do Piauí";"PI";2207355;68,9;31,4;33,06;49,03;68,13
"Palmeira do Piauí";"PI";2207405;67,26;37,1;26,47;45,73;69
"Palmeirais";"PI";2207504;71,57;23,2;31,85;55,86;76,66
"Paquetá";"PI";2207553;68,88;31,4;43,69;51,51;74,75
"Parnaguá";"PI";2207603;71,64;23;25,96;53,38;74,66
"Parnaíba";"PI";2207702;73,98;16,83;16,47;26,51;51,94
"Passagem Franca do Piauí";"PI";2207751;70,46;26,4;38,84;36,21;56,51
"Patos do Piauí";"PI";2207777;70,28;27;39,43;46,74;71,67
"Pau D'Arco do Piauí";"PI";2207793;69,5;29,4;34,78;59,22;77,1
"Paulistana";"PI";2207801;71;24,9;30,09;41,37;65,01
"Pavussu";"PI";2207850;69,85;28,3;35,2;54,33;72,21
"Pedro Ii";"PI";2207900;70,99;24,9;31,11;46,62;70,52
"Pedro Laurentino";"PI";2207934;69,74;28,7;22,3;61,24;83,12
"Nova Santa Rita";"PI";2207959;71,17;24,4;29,29;57,52;76,88
"Picos";"PI";2208007;73;24,07;17,7;17,93;41,11
"Pimenteiras";"PI";2208106;71,43;23,6;34,71;48,21;68,9
"Pio Ix";"PI";2208205;70,47;26,4;31,11;47,36;73,05
"Piracuruca";"PI";2208304;71,21;24,2;29,96;40,66;64,89
"Piripiri";"PI";2208403;71,51;23,4;26,3;30,18;55,63
"Porto";"PI";2208502;70,47;26,4;35,01;50,16;77,07
"Porto Alegre do Piauí";"PI";2208551;68,93;31,2;27,64;39,3;72,49
"Prata do Piauí";"PI";2208601;70,84;25,3;35,27;52,59;73,9
"Queimada Nova";"PI";2208650;70,45;26,5;31,3;56,59;79,34
"Redenção do Gurguéia";"PI";2208700;70,98;24,9;21,78;48,55;69,17
"Regeneração";"PI";2208809;67,85;34,9;31,82;40,9;64,83
"Riacho Frio";"PI";2208858;70,67;25,8;20,08;62,65;82,12
"Ribeira do Piauí";"PI";2208874;70,48;26,4;30,47;57,85;78,75
"Ribeiro Gonçalves";"PI";2208908;72,22;21,5;22,68;42,23;65,05
"Rio Grande do Piauí";"PI";2209005;71,03;24,8;29,77;45,13;65,99
"Santa Cruz do Piauí";"PI";2209104;68,22;33,6;35,88;33,99;63,2
"Santa Cruz dos Milagres";"PI";2209153;68,14;33,9;34;44,34;70,31
"Santa Filomena";"PI";2209203;72,34;21,2;24,39;53,49;78,58
"Santa Luz";"PI";2209302;71,1;24,6;26,42;48,31;72,6
"Santana do Piauí";"PI";2209351;69,16;30,5;30,34;42,54;67,05
"Santa Rosa do Piauí";"PI";2209377;66,96;38,2;31,65;48,21;69,91
"Santo Antônio de Lisboa";"PI";2209401;67,21;37,2;28,57;31,38;56,14
"Santo Antônio dos Milagres";"PI";2209450;71,57;23,2;27,8;44,14;74,84
"Santo Inácio do Piauí";"PI";2209500;71,55;23,3;29,75;42,63;67,63
"São Braz do Piauí";"PI";2209559;71,23;24,2;30,41;47;67,4
"São Félix do Piauí";"PI";2209609;69,52;29,3;34,11;38,48;62,5
"São Francisco de Assis do Piauí";"PI";2209658;69,04;30,9;38,95;65,37;83,9
"São Francisco do Piauí";"PI";2209708;69,64;29;32,1;43,98;71,11
"São Gonçalo do Gurguéia";"PI";2209757;67,06;37,8;24,51;51,86;74,46
"São Gonçalo do Piauí";"PI";2209807;69,34;29,9;27,6;51,3;69,1
"São João da Canabrava";"PI";2209856;68,55;32,5;36,43;46,32;69,14
"São João da Fronteira";"PI";2209872;70,18;27,3;36,99;52,6;77,54
"São João da Serra";"PI";2209906;70,39;26,6;38,26;48,48;70,37
"São João da Varjota";"PI";2209955;67,46;36,4;35,38;49,6;70,4
"São João do Arraial";"PI";2209971;68,2;33,7;36,29;56,77;79,76
"São João do Piauí";"PI";2210003;71,16;24,4;22,22;32,56;58,42
"São José do Divino";"PI";2210052;71,5;23,4;36,09;44,84;74,46
"São José do Peixe";"PI";2210102;70,96;25;30,05;50,47;70,12
"São José do Piauí";"PI";2210201;67,02;37,9;37,91;32,84;58,94
"São Julião";"PI";2210300;71,47;23,5;38,71;36,54;57,96
"São Lourenço do Piauí";"PI";2210359;70,17;27,3;24,65;35,88;59,42
"São Luis do Piauí";"PI";2210375;70,44;26,5;33,46;45,89;68,11
"São Miguel da Baixa Grande";"PI";2210383;71,45;23,6;37,68;43,6;67,53
"São Miguel do Fidalgo";"PI";2210391;69,83;28,4;32,94;53,02;78,73
"São Miguel do Tapuio";"PI";2210409;71,8;22,6;36,03;55,14;76,91
"São Pedro do Piauí";"PI";2210508;71,57;23,2;29,58;46,17;69,38
"São Raimundo Nonato";"PI";2210607;71,75;22,8;20,16;25,71;54,6
"Sebastião Barros";"PI";2210623;71,21;24,3;22,91;60,7;79,97
"Sebastião Leal";"PI";2210631;69,18;30,4;27,72;52,02;77,04
"Sigefredo Pacheco";"PI";2210656;70,85;25,3;33,77;47,52;74,01
"Simões";"PI";2210706;71,24;24,2;30,25;43,47;67,2
"Simplício Mendes";"PI";2210805;71,01;24,8;23,7;33,72;58,33
"Socorro do Piauí";"PI";2210904;69,35;29,9;27,3;54,73;73,54
"Sussuapara";"PI";2210938;69,94;28;30,36;33,3;66,09
"Tamboril do Piauí";"PI";2210953;66,1;41,5;36,05;56,11;77,99
"Tanque do Piauí";"PI";2210979;67,21;37,2;28,53;39,55;66,41
"Teresina";"PI";2211001;74,22;16,13;9,1;14,6;37,83
"União";"PI";2211100;71,86;22,4;28,74;43,67;72,34
"Uruçuí";"PI";2211209;72,63;20,4;18,12;29,7;53,84
"Valença do Piauí";"PI";2211308;71,4;23,7;26,08;28,5;56,49
"Várzea Branca";"PI";2211357;69,57;29,2;31,49;54,59;72,38
"Várzea Grande";"PI";2211407;67,49;36,2;33,09;42,66;64,68
"Vera Mendes";"PI";2211506;66,1;41,5;43,69;58,19;78,43
"Vila Nova do Piauí";"PI";2211605;66,1;41,5;30,17;47,16;74,27
"Wall Ferraz";"PI";2211704;67,49;36,2;35,26;49,94;77,19
"Abaiara";"CE";2300101;69,87;26,9;29,4;44,64;71,86
"Acarape";"CE";2300150;67,56;34,4;21,77;32,88;66,26
"Acaraú";"CE";2300200;70,47;25,1;28,83;51,22;75,35
"Acopiara";"CE";2300309;68,41;31,5;32,87;45,21;68,34
"Aiuaba";"CE";2300408;69,96;26,6;34,14;52,55;75,02
"Alcântaras";"CE";2300507;70,07;26,3;29,11;37,34;67,24
"Altaneira";"CE";2300606;71,41;22,5;31,83;49,56;72,18
"Alto Santo";"CE";2300705;71,44;22,4;30,13;36,02;64,21
"Amontada";"CE";2300754;70,63;24,6;25,67;57,54;79,23
"Antonina do Norte";"CE";2300804;71,32;22,7;32,61;43,92;69,7
"Apuiarés";"CE";2300903;69,44;28,2;26,8;49,77;70,96
"Aquiraz";"CE";2301000;72,27;20,2;20,83;24,19;56,63
"Aracati";"CE";2301109;69,52;27,9;20,82;31,68;59,26
"Aracoiaba";"CE";2301208;70,56;24,8;30,07;42,69;68,61
"Ararendá";"CE";2301257;70,76;24,3;34,02;51,04;73,87
"Araripe";"CE";2301307;70,54;24,9;33,54;56;76,33
"Aratuba";"CE";2301406;71,49;22,3;25,35;46,35;73,01
"Arneiroz";"CE";2301505;69,41;28,3;30,26;40,76;69,82
"Assaré";"CE";2301604;71,95;21;31,68;45,07;67,59
"Aurora";"CE";2301703;70,81;24,1;28,05;45,69;67,38
"Baixio";"CE";2301802;70,77;24,2;23,75;35,89;62,83
"Banabuiú";"CE";2301851;71,71;21,7;30,18;48,92;73,97
"Barbalha";"CE";2301901;74,02;16;18,79;28,35;57,68
"Barreira";"CE";2301950;71,25;22,9;27,46;41,44;69,35
"Barro";"CE";2302008;70,49;25;23,37;41,46;66,64
"Barroquinha";"CE";2302057;68,2;32,2;36,5;55,93;78,46
"Baturité";"CE";2302107;70,2;25,9;22,03;34,41;62,33
"Beberibe";"CE";2302206;71,67;21,8;26,05;38,18;64,22
"Bela Cruz";"CE";2302305;70,57;24,8;27,09;51,91;74,88
"Boa Viagem";"CE";2302404;71,09;23,3;32,57;48,83;71,03
"Brejo Santo";"CE";2302503;71,06;23,4;22,68;32,29;61,28
"Camocim";"CE";2302602;68,71;30,5;26,49;45,76;71,72
"Campos Sales";"CE";2302701;71,11;23,3;29,21;46,64;66,09
"Canindé";"CE";2302800;70,88;23,9;24,67;45,24;69,79
"Capistrano";"CE";2302909;68,82;30,2;27,78;52,79;75,65
"Caridade";"CE";2303006;71,74;21,6;26,83;47,06;72,88
"Cariré";"CE";2303105;69,92;26,7;30,47;49,87;72,04
"Caririaçu";"CE";2303204;68,81;30,2;31,65;45,21;69,23
"Cariús";"CE";2303303;70,07;26,3;31,79;44,85;67,79
"Carnaubal";"CE";2303402;70,58;24,8;29,66;49,64;73,86
"Cascavel";"CE";2303501;72,57;19,5;22,89;31,25;60,09
"Catarina";"CE";2303600;70,85;24;29,44;42,19;71,73
"Catunda";"CE";2303659;67,99;32,9;30,02;48,19;75,83
"Caucaia";"CE";2303709;73,48;17,57;12,86;22,82;51,67
"Cedro";"CE";2303808;70,18;26;27,52;39,13;62,81
"Chaval";"CE";2303907;67,97;33;32,47;49,91;74,23
"Choró";"CE";2303931;71,65;21,8;32,43;60,78;79
"Chorozinho";"CE";2303956;69,53;27,9;28,72;36,15;66,03
"Coreaú";"CE";2304004;70,5;25;36,91;47,57;74,62
"Crateús";"CE";2304103;72,24;20,3;24,99;37,07;61,12
"Crato";"CE";2304202;74,3;16,48;14,94;24,54;50,89
"Croatá";"CE";2304236;70,58;24,8;35,25;58,91;79,3
"Cruz";"CE";2304251;70,13;26,1;24,64;46,29;67,89
"Deputado Irapuan Pinheiro";"CE";2304269;69,52;27,9;32,28;45,38;64,99
"Ererê";"CE";2304277;70,23;25,8;30,73;39,25;65,65
"Eusébio";"CE";2304285;72,66;19,2;13,49;22,03;49,32
"Farias Brito";"CE";2304301;71,41;22,5;27,62;48,78;70,27
"Forquilha";"CE";2304350;70,62;24,7;26,18;29,57;59,2
"Fortaleza";"CE";2304400;74,41;15,76;6,94;12,14;32,88
"Fortim";"CE";2304459;69,06;29,4;26,79;39,33;67,94
"Frecheirinha";"CE";2304509;69,78;27,2;33,33;45,88;70,94
"General Sampaio";"CE";2304608;69,65;27,5;32,58;43,35;71,11
"Graça";"CE";2304657;70,28;25,6;35,69;55,15;74,44
"Granja";"CE";2304707;71,68;21,7;38,57;63,91;82,31
"Granjeiro";"CE";2304806;67,88;33,3;30,62;46,36;70,13
"Groaíras";"CE";2304905;68,41;31,5;25,24;31,9;61,02
"Guaiúba";"CE";2304954;71,05;23,4;23,07;40,45;69,62
"Guaraciaba do Norte";"CE";2305001;71,57;22;28,43;43,42;71,11
"Guaramiranga";"CE";2305100;69,14;29,1;17,85;35,52;64,55
"Hidrolândia";"CE";2305209;71,48;22,3;30,19;44;68,14
"Horizonte";"CE";2305233;72,3;20,1;15,65;22,32;54,91
"Ibaretama";"CE";2305266;70,52;25;34,67;54,03;76,65
"Ibiapina";"CE";2305308;71,04;23,5;25,48;38,71;66,87
"Ibicuitinga";"CE";2305332;70,5;25;29,34;53,82;76,05
"Icapuí";"CE";2305357;70,44;25,2;26,07;33,32;64,15
"Icó";"CE";2305407;68,88;30;32,83;42,14;66,06
"Iguatu";"CE";2305506;73,48;17,2;23,36;24,31;50,24
"Independência";"CE";2305605;70,51;25;28,74;45,52;68,32
"Ipaporanga";"CE";2305654;70,93;23,8;34,29;55,78;76,24
"Ipaumirim";"CE";2305704;68,72;30,5;27,32;36,35;63,58
"Ipu";"CE";2305803;70,69;24,5;28,13;42,15;66,43
"Ipueiras";"CE";2305902;69,1;29,2;32,03;51,9;74,37
"Iracema";"CE";2306009;68,97;29,7;26,59;33,85;61,63
"Irauçuba";"CE";2306108;70,28;25,6;28,01;56,58;76,5
"Itaiçaba";"CE";2306207;70,5;25;22,82;26,94;59,22
"Itaitinga";"CE";2306256;71,05;23,4;17,2;29,31;61,11
"Itapagé";"CE";2306306;70,57;24,8;23,36;42,45;69,87
"Itapipoca";"CE";2306405;70,63;24,6;22,68;45;69,64
"Itapiúna";"CE";2306504;71,49;22,3;30,42;46,42;72,52
"Itarema";"CE";2306553;70,2;25,9;26,9;49,01;77,45
"Itatira";"CE";2306603;69,79;27,1;32,57;53,79;75,39
"Jaguaretama";"CE";2306702;71,56;22,1;28,53;47,29;71,55
"Jaguaribara";"CE";2306801;69,1;29,2;25,97;32,21;60,42
"Jaguaribe";"CE";2306900;70,6;24,7;25,56;37,3;62,37
"Jaguaruana";"CE";2307007;71,72;21,6;27,15;34,35;61,74
"Jardim";"CE";2307106;71,72;21,6;26,29;45,8;70,28
"Jati";"CE";2307205;71,58;22;26,25;41,91;66,82
"Jijoca de Jericoacoara";"CE";2307254;68,35;31,7;23,51;36,4;61,49
"Juazeiro do Norte";"CE";2307304;73,58;18,12;16,2;23,43;51,95
"Jucás";"CE";2307403;71,32;22,7;31,18;44,11;70,58
"Lavras da Mangabeira";"CE";2307502;71,65;21,8;28,88;46,26;69,23
"Limoeiro do Norte";"CE";2307601;73,22;17,9;19,21;21,09;49,38
"Madalena";"CE";2307635;71,65;21,8;26,12;49,8;73,93
"Maracanaú";"CE";2307650;72,27;20,2;9,6;18,97;47,69
"Maranguape";"CE";2307700;72,27;20,2;15,39;25,4;57,64
"Marco";"CE";2307809;69,05;29,4;28,6;41,45;71,84
"Martinópole";"CE";2307908;70,57;24,8;29,87;51,02;74,68
"Massapê";"CE";2308005;71,7;21,7;28,49;41,67;68,12
"Mauriti";"CE";2308104;71,32;22,7;29,51;48,76;72,26
"Meruoca";"CE";2308203;70,68;24,5;18,71;35,68;68,67
"Milagres";"CE";2308302;71,61;21,9;28,84;36,4;67,27
"Milhã";"CE";2308351;72,01;20,9;28,8;44,12;65,53
"Miraíma";"CE";2308377;71,7;21,7;32,27;64,35;82,32
"Missão Velha";"CE";2308401;70,21;25,9;28,05;44,81;68,98
"Mombaça";"CE";2308500;69,09;29,3;34,02;45,53;69,52
"Monsenhor Tabosa";"CE";2308609;71,37;22,6;29,84;49,73;71,01
"Morada Nova";"CE";2308708;70,47;25,1;28,22;39,18;64,53
"Moraújo";"CE";2308807;71,1;23,3;31,98;58,9;79,16
"Morrinhos";"CE";2308906;70,57;24,8;28,44;54,57;72,79
"Mucambo";"CE";2309003;68,91;29,8;31,61;46,25;68,1
"Mulungu";"CE";2309102;70,56;24,8;22,98;47,55;71,08
"Nova Olinda";"CE";2309201;71,72;21,6;23,3;46,47;71,45
"Nova Russas";"CE";2309300;70,25;25,7;28,44;33,63;60,75
"Novo Oriente";"CE";2309409;70,79;24,2;34,07;50,09;70,52
"Ocara";"CE";2309458;71,25;22,9;30,07;49,99;74,16
"Orós";"CE";2309508;72,58;19,4;29,69;33,03;59,42
"Pacajus";"CE";2309607;72,3;20,1;18,26;24,7;52,87
"Pacatuba";"CE";2309706;71,75;21,6;9,38;22;54,06
"Pacoti";"CE";2309805;71,38;22,5;20,33;37,95;64,75
"Pacujá";"CE";2309904;69,7;27,4;28,15;41,68;67,18
"Palhano";"CE";2310001;68,35;31,7;28,38;34,53;61,66
"Palmácia";"CE";2310100;69,54;27,9;24,09;45,85;72,19
"Paracuru";"CE";2310209;69,73;27,3;20,15;36,59;64
"Paraipaba";"CE";2310258;69,25;28,8;19,94;38,48;65,05
"Parambu";"CE";2310308;70,85;24;35,09;51,58;74,35
"Paramoti";"CE";2310407;69,45;28,2;29,78;49,98;77,17
"Pedra Branca";"CE";2310506;71,73;21,6;33,19;41,95;71,21
"Penaforte";"CE";2310605;70,64;24,6;22,17;34,26;62,1
"Pentecoste";"CE";2310704;69,06;29,4;24,8;44,8;71,69
"Pereiro";"CE";2310803;71,56;22,1;29,57;51,12;73,49
"Pindoretama";"CE";2310852;70,25;25,7;21,7;30,09;60,66
"Piquet Carneiro";"CE";2310902;71,73;21,6;26,34;48,21;70,66
"Pires Ferreira";"CE";2310951;71,13;23,2;29,94;52,34;78,85
"Poranga";"CE";2311009;69,76;27,2;33,97;53;73,31
"Porteiras";"CE";2311108;70,9;23,9;29,17;47,62;74,42
"Potengi";"CE";2311207;70,54;24,9;34,52;53,53;76,22
"Potiretama";"CE";2311231;70,23;25,8;29,11;43,54;66,34
"Quiterianópolis";"CE";2311264;71,46;22,3;32,81;49,89;74,2
"Quixadá";"CE";2311306;71,52;22,2;22,94;36,21;62,51
"Quixelô";"CE";2311355;68,49;31,2;36,7;45,02;67,54
"Quixeramobim";"CE";2311405;72,33;20;24,2;38,37;63,18
"Quixeré";"CE";2311504;71,44;22,4;26,03;34,25;64,03
"Redenção";"CE";2311603;70;26,5;24,32;38,32;62,93
"Reriutaba";"CE";2311702;70,63;24,6;29,25;50,02;71,72
"Russas";"CE";2311801;72,43;19,8;19,59;22,09;50,17
"Saboeiro";"CE";2311900;67,87;33,3;33,5;50,76;72,71
"Salitre";"CE";2311959;68,91;29,9;39,98;53,46;78,59
"Santana do Acaraú";"CE";2312007;70,28;25,6;29,56;59,47;79,57
"Santana do Cariri";"CE";2312106;71,72;21,6;30;56,11;74,39
"Santa Quitéria";"CE";2312205;71,48;22,3;27,43;48,79;71,68
"São Benedito";"CE";2312304;70,84;24,1;27,09;42,61;68,21
"São Gonçalo do Amarante";"CE";2312403;71,47;22,3;20,12;33,04;60,4
"São João do Jaguaribe";"CE";2312502;72,04;20,8;25,8;27,57;48,56
"São Luís do Curu";"CE";2312601;68,13;32,4;22,37;42,2;66,88
"Senador Pompeu";"CE";2312700;71,22;23;27,06;37,35;63,31
"Senador Sá";"CE";2312809;69,12;29,2;33,16;50,98;72,41
"Sobral";"CE";2312908;74,93;13,58;17;25,2;51,76
"Solonópole";"CE";2313005;70,22;25,8;26,22;40,69;65,5
"Tabuleiro do Norte";"CE";2313104;72,43;19,8;22,54;30,02;51,46
"Tamboril";"CE";2313203;71,71;21,7;32,97;49,31;72,76
"Tarrafas";"CE";2313252;70,04;26,4;35,51;49,69;69,93
"Tauá";"CE";2313302;71,4;22,5;27,34;41,03;65,43
"Tejuçuoca";"CE";2313351;69,54;27,9;27,78;51,38;75,43
"Tianguá";"CE";2313401;71,07;23,4;24,02;34,54;62,35
"Trairi";"CE";2313500;69,34;28,5;23,62;53,07;76,17
"Tururu";"CE";2313559;70,57;24,8;28;54,19;76,66
"Ubajara";"CE";2313609;71,14;23,2;24,57;36,4;63,62
"Umari";"CE";2313708;71,65;21,8;32,46;50,85;75,19
"Umirim";"CE";2313757;70,07;26,3;28,47;52,27;79,01
"Uruburetama";"CE";2313807;70,57;24,8;22,85;41,37;72,38
"Uruoca";"CE";2313906;69,7;27,4;36,46;56,79;78,85
"Varjota";"CE";2313955;68,65;30,7;26,67;40,41;66,15
"Várzea Alegre";"CE";2314003;70,54;24,9;28,56;42,91;63,98
"Viçosa do Ceará";"CE";2314102;70,2;25,9;31,42;57,51;79,99
"Acari";"RN";2400109;71,73;21,7;17,81;20,79;49,44
"Açu";"RN";2400208;72,69;21,19;22,48;22,16;52,23
"Afonso Bezerra";"RN";2400307;67,76;33,9;30,68;40;67,61
"Água Nova";"RN";2400406;71,56;22,2;22,66;42,81;74,3
"Alexandria";"RN";2400505;71,71;21,8;33,42;39,4;63,76
"Almino Afonso";"RN";2400604;69,32;28,8;25,05;34,52;63,5
"Alto do Rodrigues";"RN";2400703;72,98;18,6;19,3;16,86;42,36
"Angicos";"RN";2400802;70,34;25,6;26,34;29,17;57,43
"Antônio Martins";"RN";2400901;70,6;24,9;30,78;42,55;67,63
"Apodi";"RN";2401008;69,79;27,3;23,91;31,03;58,37
"Areia Branca";"RN";2401107;72,38;20,1;16,31;19,46;42,96
"Arês";"RN";2401206;68,47;31,5;25,69;36,12;63,38
"Augusto Severo";"RN";2401305;71,46;22,5;28,88;41,22;67,86
"Baía Formosa";"RN";2401404;68,05;32,9;22,88;28,35;59,76
"Baraúna";"RN";2401453;70,36;25,6;28,1;27,97;64,59
"Barcelona";"RN";2401503;68,58;31,1;29,51;37,89;65,85
"Bento Fernandes";"RN";2401602;69,22;29,1;28,3;41,72;68,04
"Bodó";"RN";2401651;71,33;22,8;24,86;40,52;65,87
"Bom Jesus";"RN";2401701;69,56;28;32,05;38,16;65,65
"Brejinho";"RN";2401800;68,29;32,1;31,23;33,96;62,78
"Caiçara do Norte";"RN";2401859;68,61;31;25,52;43,31;66,03
"Caiçara do Rio do Vento";"RN";2401909;69,01;29,7;25,65;41,66;66,87
"Caicó";"RN";2402006;74,45;13,4;15,34;12,1;34,65
"Campo Redondo";"RN";2402105;70,47;25,3;25,71;43,34;70,75
"Canguaretama";"RN";2402204;68,07;32,8;26,63;39,54;66,56
"Caraúbas";"RN";2402303;72,15;20,7;26,71;35,25;58,96
"Carnaúba dos Dantas";"RN";2402402;72,76;19,1;14,37;15,98;42,7
"Carnaubais";"RN";2402501;69,25;29;25,64;33,1;67,07
"Ceará-Mirim";"RN";2402600;71,44;22,6;21,76;31,29;58,91
"Cerro Corá";"RN";2402709;70,26;25,9;27,39;41,08;63,5
"Coronel Ezequiel";"RN";2402808;71,68;21,9;29,97;46,48;68,9
"Coronel João Pessoa";"RN";2402907;69,86;27,1;33,16;43,15;69,47
"Cruzeta";"RN";2403004;69,89;27;22,23;20,57;52,86
"Currais Novos";"RN";2403103;72,62;21,69;17,87;22,64;46,57
"Doutor Severiano";"RN";2403202;69,79;27,3;24,76;37,37;61,85
"Parnamirim";"RN";2403251;74,52;15,01;7,96;10,91;29,01
"Encanto";"RN";2403301;72,21;20,5;24,28;31,52;56,36
"Equador";"RN";2403400;70,87;24,1;22,82;34,24;65,65
"Espírito Santo";"RN";2403509;69,88;27;38,36;46,01;71,97
"Extremoz";"RN";2403608;73,5;17,3;17,2;23,67;51,29
"Felipe Guerra";"RN";2403707;71,1;23,5;21,46;32,1;58,89
"Fernando Pedroza";"RN";2403756;68,62;31;29,64;39,83;67,91
"Florânia";"RN";2403806;71,51;22,3;23,2;26,34;51,1
"Francisco Dantas";"RN";2403905;68,91;30;29,06;33,49;60,23
"Frutuoso Gomes";"RN";2404002;69,24;29;25,67;35,42;63,24
"Galinhos";"RN";2404101;68,39;31,8;26,85;39,6;68,94
"Goianinha";"RN";2404200;72;21;23,82;29,09;56,68
"Governador Dix-Sept Rosado";"RN";2404309;70,52;25,1;23,96;36,91;61,91
"Grossos";"RN";2404408;72,39;20;25,88;19,85;48,46
"Guamaré";"RN";2404507;71,13;23,4;22,78;23,79;51,64
"Ielmo Marinho";"RN";2404606;70,93;24;28,12;46,4;75,08
"Ipanguaçu";"RN";2404705;69,63;27,8;27,74;34,99;64,43
"Ipueira";"RN";2404804;72,27;20,4;23,94;15,35;38,8
"Itajá";"RN";2404853;71,11;23,5;25,52;24,86;57,53
"Itaú";"RN";2404903;68,62;31;22,07;30,66;62,83
"Jaçanã";"RN";2405009;71,35;22,8;27,81;39,31;64,27
"Jandaíra";"RN";2405108;67,54;34,7;32,59;41,64;71,45
"Janduís";"RN";2405207;71,53;22,3;27,76;36,84;66,99
"Januário Cicco";"RN";2405306;71,28;23;35,46;55,65;75,89
"Japi";"RN";2405405;68,58;31,1;34,8;48,65;74,08
"Jardim de Angicos";"RN";2405504;69,37;28,6;26,92;43,62;66,72
"Jardim de Piranhas";"RN";2405603;72,49;19,8;25,77;22,22;55,98
"Jardim do Seridó";"RN";2405702;71,31;22,9;18,47;17,42;45,45
"João Câmara";"RN";2405801;68,45;31,6;26,78;35,99;62,19
"João Dias";"RN";2405900;71,28;23;38,86;56,29;79,73
"José da Penha";"RN";2406007;72,29;20,3;29,73;31,13;57,88
"Jucurutu";"RN";2406106;70,28;25,8;31,53;29,48;57,4
"Jundiá";"RN";2406155;71,47;22,5;35,44;36,66;66,76
"Lagoa D'Anta";"RN";2406205;69,36;28,6;33,2;41,93;63,6
"Lagoa de Pedras";"RN";2406304;69,06;29,6;36,72;49,61;72,75
"Lagoa de Velhos";"RN";2406403;72,36;20,1;26,65;33,11;58,91
"Lagoa Nova";"RN";2406502;70,81;24,3;29,24;44,26;69,53
"Lagoa Salgada";"RN";2406601;71,28;23;36,93;43,02;71,07
"Lajes";"RN";2406700;70,37;25,6;26,98;33,77;65,27
"Lajes Pintadas";"RN";2406809;71,12;23,4;27,51;36,87;63,2
"Lucrécia";"RN";2406908;72,12;20,7;23,93;37,17;59,68
"Luís Gomes";"RN";2407005;71,56;22,2;29,21;46,87;75,95
"Macaíba";"RN";2407104;72,04;21;22,55;26,57;56,29
"Macau";"RN";2407203;72,49;19,8;18,94;18,75;42,91
"Major Sales";"RN";2407252;71,46;22,5;29,03;37,65;65,04
"Marcelino Vieira";"RN";2407302;71,56;22,2;30,23;38,87;62,87
"Martins";"RN";2407401;71,31;22,9;19,21;34,34;57,59
"Maxaranguape";"RN";2407500;70,83;24,2;21,8;38,32;64,8
"Messias Targino";"RN";2407609;71,71;21,8;32,39;22,22;51,5
"Montanhas";"RN";2407708;67,02;36,5;30,23;44,68;70,84
"Monte Alegre";"RN";2407807;71,18;23,3;28,92;38,34;64,19
"Monte das Gameleiras";"RN";2407906;70,14;26,2;30,5;37,98;63,17
"Mossoró";"RN";2408003;73,64;17,91;13,8;12,81;35,33
"Natal";"RN";2408102;75,08;14,35;8,33;10,5;29,16
"Nísia Floresta";"RN";2408201;71,37;22,7;22,36;34,43;59,9
"Nova Cruz";"RN";2408300;72,28;20,3;31,48;35,8;60,69
"Olho-D'Água do Borges";"RN";2408409;68,14;32,6;35,11;32,31;62,52
"Ouro Branco";"RN";2408508;72,31;20,3;21,05;22,67;47,55
"Paraná";"RN";2408607;71,56;22,2;33,51;43,95;71,68
"Paraú";"RN";2408706;68,23;32,3;27,94;29,79;59,21
"Parazinho";"RN";2408805;68,15;32,6;32,92;47,58;70,63
"Parelhas";"RN";2408904;73,09;18,3;17,19;17,84;46,77
"Rio do Fogo";"RN";2408953;69,28;28,9;26,84;46,86;69,4
"Passa E Fica";"RN";2409100;70,79;24,4;32,4;41,09;66,45
"Passagem";"RN";2409209;69,83;27,2;28,25;32,8;71,76
"Patu";"RN";2409308;71,07;23,6;27,88;32,52;59,03
"Santa Maria";"RN";2409332;71,73;21,8;28,85;36,95;66,52
"Pau dos Ferros";"RN";2409407;73,16;18,2;18,06;19,54;44,98
"Pedra Grande";"RN";2409506;71,35;22,8;24,7;47,63;71,67
"Pedra Preta";"RN";2409605;70,1;26,4;23,09;52,53;77,05
"Pedro Avelino";"RN";2409704;72,27;20,4;28,15;35,73;64,98
"Pedro Velho";"RN";2409803;69,27;28,9;31,53;40,74;67,11
"Pendências";"RN";2409902;70,17;26,1;22,97;25,5;54,38
"Pilões";"RN";2410009;71,63;22;29,59;35,11;64,72
"Poço Branco";"RN";2410108;70,93;24;29,64;44,06;70,32
"Portalegre";"RN";2410207;70,22;26;23,8;36,04;63,4
"Porto do Mangue";"RN";2410256;68,89;30,1;27,66;47,11;70,99
"Presidente Juscelino";"RN";2410306;67,75;33,9;32,07;44,94;70,96
"Pureza";"RN";2410405;71,46;22,5;28,22;54,16;75,39
"Rafael Fernandes";"RN";2410504;69,24;29;24,43;29,99;57,08
